,Dimensions,is subdimension of,Definition,Reference,occurrence,keywords
95,Completeness of Address,completeness,,meekins2004predicting,1,data quality: 1; panel attrition: 1; 
96,Completeness of Documentation,completeness,,herzberg2011concept,5,data accuracy: 1; assessment: 1; emergency medical services: 1; medical records: 1; health care: 1; hospital records: 1; maternity: 1; shared-care: 1; general practitioner (gp): 1; paper hand-held record (phr): 1; electronic health record (ehr): 1; best practice variable: 1; cardiac arrest documentation: 1; cardiopulmonary resuscitation: 1; simulation: 1; no-flow fraction: 1; 
97,Comprehensibility,ease of understanding [firmani2016on],Whether the end-user can fully understand the data.,dejaeger2010novel,10,translation: 2; clinical research informatics: 1; data quality: 1; electronic health records: 1; knowledge acquisition: 1; knowledge acquisition and knowledge management: 1; knowledge bases: 1; knowledge representations: 1; methods for integration of information from disparate sources: 1; secondary use: 1; low back pain: 1; pain catastrophizing: 1; validity: 1; reliability: 1; clinical research: 1; very preterm infants: 1; very low birth weight infants: 1; quality assessment: 1; quality indicators: 1; benchmarking: 1; falsification: 1; mortality: 1; morbidity: 1; evidence based medicine: 1; health-related quality of life: 1; yoruba sf-36: 1; cultural adaptation: 1; psychometric properties: 1; barriers: 1; career choice: 1; discouraging factors: 1; india: 1; medical students: 1; cost measurement: 1; patient-reported: 1; randomized clinical trial: 1; resource use: 1; 
98,Comprehensiveness,coverage [sidi2012data],,wang1996beyond,39,"data quality: 3; semantic interoperability: 2; reliability: 2; validity: 2; electronic medical records: 2; epidemiology: 2; information systems: 2; mental health: 2; quality: 2; routine outcome measurement: 1; australia: 1; clinical terminology: 1; preventive health services: 1; quality of health care: 1; primary medical care: 1; data dictionary: 1; oncology: 1; immunization: 1; outcomes: 1; data collection: 1; program evaluation: 1; standard terms: 1; related factors: 1; health information systems: 1; data use: 1; data-informed decision making: 1; hiv and aids: 1; district level: 1; routine health information systems: 1; guidance: 1; vaccines: 1; vaccinations: 1; immunizations: 1; resource tracking: 1; global vaccine action plan: 1; public health surveillance: 1; china: 1; review: 1; informatics: 1; health information technology: 1; measurement: 1; health information exchange: 1; clinical information management: 1; clinical software: 1; health data accuracy: 1; surveillance: 1; barriers: 1; clinical data quality: 1; general practice: 1; primary care data: 1; electronic health records [mesh]: 1; data collection [mesh]: 1; global health [mesh]: 1; cohort studies: 1; bias, epidemiology: 1; bioinformatics: 1; chromatography: 1; dataindependent acquisition: 1; irt: 1; retention time alignment: 1; retention time normalization: 1; retention time prediction: 1; cancer: 1; awareness: 1; beliefs: 1; factor analysis: 1; known group comparison: 1; genomics: 1; systems medicine: 1; data analysis: 1; data integration: 1; microbiome: 1; inflammation: 1; culture: 1; translation: 1; adaptation: 1; feasibility: 1; assessment: 1; questionnaire: 1; data quality dimensions: 1; data quality improvement strategy: 1; informed decision-making: 1; test-based approach: 1; management perspective: 1; tuberculosis control programme: 1; secondary use: 1; medical informatics: 1; decision support systems: 1; data security: 1; ehr: 1; suicide prevention: 1; self-harm: 1; indigenous: 1; inuit: 1; first nations: 1; circumpolar: 1; administrative data: 1; data governance: 1; health disparities: 1; general practice assessment questionnaire: 1; primary care: 1; physician-patient communication: 1; interpersonal performance: 1; "
99,Computational Conformance,conformance [kahn2016harmonized],"If computations used to create derived values from existing variables yield the intended results either within a data set (Verification) or between data sets (Validation), when programs are based on identical specifications.",kahn2016harmonized,1,electronic health records: 1; data use & quality: 1; data completeness: 1; 
100,Computational Error,error,,leibovici2013spatial,2,metadata: 1; spatial data quality: 1; usability: 1; geoprocessing: 1; uncertainty: 1; error propagation: 1; scientific workflow: 1; 
101,Computerized Plausibility,plausibility,,wolfert2004european,1,
102,Concise,redundancy [firmani2016on],"The extent to which data are compactly represented without being overwhelming (i.e., brief in presentation, yet complete and to the point).",wang1996beyond,39,data quality: 4; assessment: 1; emergency medical services: 1; medical records: 1; health care: 1; hospital records: 1; clinical data interchange standards consortium: 1; clinical data management systems: 1; data management: 1; e-crf: 1; good clinical data management practices: 1; validation: 1; systemic lupus erythematosus: 1; sle: 1; data accuracy: 1; challenge: 1; new agents: 1; therapy: 1; central adjudication committees: 1; disease activity index: 1; trials: 1; optimize: 1; low back pain: 1; pain catastrophizing: 1; validity: 1; reliability: 1; translation: 1; sri lanka: 1; computer: 1; handheld: 1; data collection: 1; randomised control trial: 1; epidemiology: 1; case report form: 1; completion guidelines: 1; case report form design: 1; electronic case report form: 1; standard templates: 1; biomedical image processing: 1; image analysis: 1; classification algorithms: 1; morphological operations: 1; machine learning algorithms: 1; data visualization: 1; computed tomography: 1; transcriptomic: 1; proteomic: 1; identifier filtering: 1; tcga: 1; correlation: 1; microarray: 1; engineering: 1; issue 115: 1; agricultural application: 1; droplet sizing: 1; spray nozzles: 1; aerial application: 1; ground application: 1; droplet measurement: 1; physics: 1; observational study: 1; dietary assessment: 1; nutritional epidemiology: 1; data interoperability: 1; health information system: 1; s.d.gs: 1; health indicators: 1; health data: 1; global estimates: 1; bangladesh: 1; experimental methodology: 1; behavioral research: 1; internet experiments: 1; amazon mechanical turk: 1; public goods game: 1; punishment: 1; c71: 1; c88: 1; c90: 1; d71: 1; wdqs: 1; web-based data query systems: 1; state public health query systems: 1; public health: 1; health surveillance: 1; public health query systems: 1; disseminated and public health: 1; state public health aggregate level data: 1; state agency and public health: 1; data and public health agencies: 1; cost measurement: 1; patient-reported: 1; randomized clinical trial: 1; resource use: 1; cms-2728: 1; esrd: 1; claims: 1; comorbidity: 1; usrds: 1; ontology evaluation: 1; ontology modeling: 1; entropy-based metric: 1; knowledge representation: 1; big data and semantics: 1; seafloor observatory: 1; data quality control: 1; arima: 1; outlier detection: 1; data interpolation: 1; art data: 1; emr: 1; ethiopia: 1; developing countries: 1; public health informatics: 1; public health surveillance: 1; disease notification: 1; communicable diseases: 1; electronic laboratory reporting: 1; electronic health records: 1; 
103,Conciseness,concise,,mendes2012sieve,4,data accuracy: 1; assessment: 1; emergency medical services: 1; medical records: 1; health care: 1; hospital records: 1; data quality: 1; observational study: 1; dietary assessment: 1; nutritional epidemiology: 1; data interoperability: 1; ontology evaluation: 1; ontology modeling: 1; entropy-based metric: 1; knowledge representation: 1; big data and semantics: 1; 
104,Concordance,,There is agreement between data elements.,weiskopf2017data,117,"data quality: 9; whole-genome sequencing: 4; genomics: 3; next generation sequencing: 3; electronic health records: 3; clinical research: 2; health facility: 2; health information system: 2; assessment: 2; public health: 2; anc1 visit: 2; essential medicine: 2; gene expression: 2; antenatal care visit: 2; health information technology: 2; quality: 2; electronic medical records: 2; quality control: 2; dna methylation: 2; quality improvement: 2; decision making: 2; health systems research: 2; health systems strengthening: 2; maternal and child health: 2; mozambique: 2; rwanda: 2; zambia: 2; data collection process: 1; evaluation: 1; background probe: 1; ensure data quality: 1; population health: 1; information systems: 1; data accuracy: 1; emergency medical services: 1; medical records: 1; health care: 1; hospital records: 1; single nucleotide polymorphisms: 1; array comparative genomic hybridization: 1; fixatives: 1; tissue preservation: 1; assay performance: 1; chemical genomics: 1; cytotoxicity: 1; nuclear receptors: 1; qhts: 1; tox21: 1; registry: 1; myocardial infarction: 1; management: 1; outcomes: 1; hiv treatment programs: 1; malawi: 1; africa: 1; supervision: 1; candidate gene analysis: 1; alignment: 1; sequencing quality: 1; soap2: 1; bowtie: 1; bwa: 1; novoalign: 1; collaborative cross: 1; eqtl detection: 1; bmi: 1; mouse genetics: 1; population substructure: 1; autism spectrum disorder: 1; connectivity: 1; frontostriatal: 1; striatum: 1; fmri: 1; dti: 1; social reward: 1; exome sequencing: 1; exome arrays: 1; mendelian diseases: 1; complex traits: 1; chromosome 1q: 1; primary health care: 1; geographical information systems (gis): 1; spatial: 1; mailing lists: 1; general practitioner (gp): 1; family physician: 1; genomic biomarker signature: 1; gard: 1; microarrays: 1; ncounter: 1; biomark hd: 1; openarray: 1; multiple reaction monitoring: 1; label-free: 1; quality assessment: 1; data normalization: 1; proteomics: 1; peptide: 1; transition: 1; single nucleotide variants: 1; genotyping: 1; imputation: 1; big data: 1; indel: 1; sequence alignment: 1; snv: 1; whole exome sequencing: 1; variant analysis: 1; genotype imputation: 1; pre-imputation filtering: 1; snp quality control: 1; genome-wide association analysis: 1; snp data: 1; quantitative trait loci: 1; nested association mapping: 1; disease resistance: 1; genome wide association study: 1; zea mays: 1; informatics: 1; proteolytic cleavage: 1; pearson correlation coefficient: 1; health information exchange: 1; admixture linkage disequilibrium: 1; mald: 1; admixture inference: 1; hospital information systems: 1; data summarization: 1; clinical pathways: 1; visualization: 1; prostate cancer: 1; clinical research informatics: 1; data use and quality: 1; next-generation sequencing: 1; ion proton: 1; dog genome: 1; variant detection: 1; bos taurus: 1; beef: 1; dairy: 1; social networks: 1; socioeconomic factors: 1; population characteristics: 1; clinical data management: 1; open source: 1; quality assurance: 1; metaprogramming: 1; microrna: 1; qpcr: 1; expression: 1; rheumatoid arthritis: 1; general practice: 1; free text: 1; data use & quality: 1; data completeness: 1; microarray: 1; transcriptomics: 1; benchmark dose (bmd): 1; bmdexpress: 1; bioinformatics: 1; data visualization: 1; human health risk assessment: 1; furan: 1; 4,4methylenebis(n,ndimethyl)benzenamine (mdmb): 1; doseresponse: 1; cohort studies: 1; bias, epidemiology: 1; agreement: 1; bias: 1; blandaltman method: 1; reduced major axis regression: 1; measurement: 1; parent-report: 1; child language: 1; parenting: 1; business lists: 1; infousa: 1; dun and bradstreet: 1; neighborhood food environment: 1; belgium: 1; sexually transmitted infections: 1; surveillance data: 1; primary care: 1; communicable diseases: 1; disease notification: 1; interprofessional relations: 1; public health surveillance: 1; qualitative research: 1; quantized correlation coefficient: 1; whole genome amplification: 1; array genotyping: 1; dried blood spot samples: 1; clinical decision support: 1; randomized control trial: 1; electronic prescribing: 1; data validation: 1; routinely collected data: 1; linkage of multiple sources: 1; ancient dna: 1; bgiseq-500: 1; illumina hiseq 2500: 1; comparative performance: 1; oncology: 1; pharmacokinetic modelling: 1; rectal cancer: 1; hypoxia: 1; radiotherapy: 1; chemoradiotherapy: 1; pet: 1; pet-ct: 1; [18f]fmiso: 1; imaging: 1; predictive biomarker: 1; tuberculosis: 1; surveillance system: 1; etr.net: 1; tb control programs: 1; south africa: 1; targeted sequencing: 1; mhc: 1; hla: 1; binding signal: 1; hybridization: 1; bac: 1; randomised controlled trial: 1; cancer trials: 1; routine data linkage: 1; validation: 1; data quality assessment: 1; knowledge acquisition: 1; knowledge acquisition and knowledge management: 1; knowledge bases: 1; knowledge representations: 1; methods for integration of information from disparate sources: 1; secondary use: 1; information quality: 1; data use: 1; low income: 1; data assessment: 1; eelgrass conservation: 1; nondestructive estimation: 1; allometric projection suitability, methodological influences: 1; sensitivity analysis: 1; snp: 1; parentage: 1; parentage prediction: 1; isag200: 1; advanced adenomas: 1; circulating cell-free dna: 1; colorectal cancer: 1; methylationepic: 1; non-invasive diagnostic biomarkers: 1; pooled samples: 1; serum: 1; otitis media: 1; bacterial pathogens: 1; antimicrobial susceptibility: 1; pediatric patients: 1; mrsa: 1; clinical application: 1; cost measurement: 1; patient-reported: 1; randomized clinical trial: 1; resource use: 1; cms-2728: 1; esrd: 1; claims: 1; comorbidity: 1; usrds: 1; random forest: 1; kriging: 1; predictive modeling: 1; r statistical computing: 1; sampling: 1; spatiotemporal data: 1; spatial data: 1; geostatistics: 1; pedometrics: 1; open: 1; archival: 1; information: 1; system: 1; biomedical: 1; data: 1; preservation: 1; access: 1; suicide prevention: 1; self-harm: 1; epidemiology: 1; indigenous: 1; inuit: 1; first nations: 1; circumpolar: 1; administrative data: 1; data governance: 1; health disparities: 1; stock-out: 1; artemisinin-based combination therapy: 1; rapid diagnostic test: 1; logistics management information system: 1; "
105,Concurrent Validity,validity,,onwuegbuzie2006validity,11,data quality: 2; measurement error: 1; literature review: 1; response scale characteristics: 1; classification: 1; behavior: 1; development: 1; national childrens study: 1; neurotoxicology: 1; study design: 1; quality of life: 1; shortening: 1; validation: 1; ankylosing spondylitis: 1; pain: 1; catastrophizing: 1; health-related quality of life: 1; yoruba sf-36: 1; translation: 1; cultural adaptation: 1; psychometric properties: 1; observational study: 1; dietary assessment: 1; nutritional epidemiology: 1; data interoperability: 1; 
106,Confidentiality,,The degree to which information has attributes that ensure that it is only accessible and interpretable by authorized users in a specific context of use.,dromey1995model,123,"data quality: 8; epidemiology: 8; surveillance: 6; electronic health records: 5; hiv: 5; evaluation: 4; database: 4; registries: 4; data collection: 3; data sharing: 3; quality: 3; india: 3; data management: 2; validation: 2; emergency department: 2; vital signs: 2; patient registry: 2; registry: 2; immunization: 2; data use: 2; program evaluation: 2; monitoring and evaluation: 2; mhealth: 2; big data: 2; indicators: 2; radiotherapy: 2; validity: 2; surveillance system: 2; malaria: 2; medical informatics: 2; pregnancy: 2; information systems: 2; survey: 2; reliability: 2; health care: 2; ghana: 2; health information systems: 2; mobile phone: 2; data: 2; sub-saharan africa: 2; data accuracy: 2; low-middle income countries: 1; who steps: 1; adaptation: 1; air quality: 1; climate change: 1; environmental health: 1; heat: 1; information quality: 1; vulnerability: 1; cardiac surgical procedures: 1; catheterization: 1; coronary angiography: 1; inter-rater reliability: 1; data collection process: 1; data integrity: 1; inspection: 1; quality systems: 1; risk-based monitoring: 1; subject protection: 1; clinical data interchange standards consortium: 1; clinical data management systems: 1; stroke: 1; e-crf: 1; good clinical data management practices: 1; assessment: 1; triage: 1; public health: 1; population health: 1; peripheral venous blood: 1; cumulative impacts: 1; cumulative risk assessment: 1; environmental justice: 1; community health: 1; injury surveillance system: 1; injury prevention: 1; developing countries: 1; injury epidemiology: 1; acute encephalitis syndrome: 1; aes: 1; japanese encephalitis: 1; japanese encephalitis virus: 1; jev: 1; quality control: 1; rare diseases: 1; viruses: 1; etiology: 1; health information exchange: 1; mixed methods: 1; public health reporting: 1; error rate: 1; gold standard: 1; data quality management processes: 1; health information system: 1; iso 8000-61: 1; gender: 1; qualitative methods: 1; sex: 1; sex/gender analysis: 1; systematic review methods: 1; cystic fibrosis: 1; disease registry: 1; community health workers: 1; data quality in sensors: 1; community based services: 1; internet-of-things: 1; indel: 1; next generation sequencing: 1; sequence alignment: 1; snv: 1; whole exome sequencing: 1; variant analysis: 1; databases: 1; iot: 1; hazard identification: 1; human: 1; omics technologies: 1; risk assessment: 1; breast cancer: 1; electronic questionnaires: 1; paper questionnaires: 1; quality of collected data: 1; coronary computed tomography angiography: 1; personal electronic health records: 1; sports medicine: 1; software design: 1; acute coronary syndromes: 1; quality indicators: 1; hospital information systems: 1; informatics: 1; paediatrics: 1; data pooling: 1; interoperability: 1; data exchange: 1; large scale studies: 1; public data: 1; smart, connected products: 1; inhalant use: 1; interventions: 1; street children: 1; treatment seeking: 1; dialysis: 1; transplantation: 1; esrd: 1; renal replacement therapy: 1; attrition: 1; longitudinal (panel) study: 1; mode switching: 1; non-response bias: 1; web survey: 1; journal-keeping: 1; common data model: 1; clinical coding: 1; scps: 1; epidemiologic methods: 1; observational health data sciences and informatics (ohdsi): 1; end-of-life decisions: 1; france: 1; methodology: 1; mixed-mode survey: 1; disease clusters: 1; mixed-methods: 1; disease mapping: 1; emis: 1; public health informatics: 1; thailand: 1; computer-assisted decision making: 1; emergency care: 1; environmental pollution: 1; cohort: 1; linked data preparation: 1; exposure status: 1; perinatal: 1; quality assurance procedures: 1; prisoner: 1; geographic studies: 1; digital mapping: 1; geographic locations: 1; methods: 1; men who have sex with men: 1; injury: 1; behavior: 1; electronic medical records: 1; electronic health records [mesh]: 1; data collection [mesh]: 1; global health [mesh]: 1; pmtct cascade: 1; prevention of mother-to-child transmission of hiv: 1; health systems factors: 1; cte d'ivoire: 1; health workforce: 1; patient retention: 1; resilience: 1; school surveys: 1; mental health: 1; quality of life: 1; psychometrics: 1; analytics: 1; development: 1; human genome: 1; electronic medical record: 1; human-rabies: 1; investigation: 1; post-exposure prophylaxis: 1; animal-bite surveillance: 1; national childrens study: 1; global health: 1; reverse innovations: 1; clinical research: 1; esource: 1; fairness: 1; remote access: 1; jurisdiction: 1; programmatic: 1; multicentre: 1; mortality surveillance: 1; cause of death: 1; systems integration: 1; information technology: 1; neurotoxicology: 1; process mapping: 1; international classification of disease: 1; sustainable development goals: 1; dropout rate: 1; techiman municipality: 1; children: 1; mechanical turk: 1; crowdsourcing: 1; online research: 1; clinical trials: 1; open-source software: 1; acute kidney injury: 1; nhs aki algorithm: 1; linked data: 1; case reports: 1; continuum of care: 1; epidemiologic surveillance: 1; clinical trial: 1; study design: 1; text messaging: 1; biometric identification: 1; observational study privacy: 1; disorders of sex development: 1; differences of sex development: 1; dsd: 1; sexual differentiation: 1; interdisciplinary care: 1; european network: 1; tuberculosis: 1; etr.net: 1; tb control programs: 1; south africa: 1; cardiomyopathy: 1; central data management: 1; quality management: 1; routinely collected health data: 1; evidence-based medicine: 1; trials: 1; clinical epidemiology: 1; cardiovascular diseases: 1; chinese: 1; parents satisfaction: 1; nicu: 1; neonatal: 1; predictive value positive: 1; case fatality rate: 1; osu klottey: 1; stakeholders: 1; motivation: 1; health worker: 1; measurement scale: 1; analysis: 1; chronic non-communicable diseases: 1; systems: 1; risk factor surveillance: 1; testing: 1; treatment: 1; prevention: 1; cascade: 1; monitoring: 1; quality assessment: 1; clinical: 1; program: 1; seer: 1; colorectal cancer: 1; chemotherapy: 1; immunisation: 1; implementation science: 1; accountability: 1; risk based monitoring: 1; rbm: 1; clinical investigators: 1; global implementation of rbm: 1; barriers: 1; career choice: 1; discouraging factors: 1; medical students: 1; migrant health: 1; asylum seeker: 1; refugee: 1; perinatal health: 1; access to care: 1; systematic review: 1; electronic health record: 1; indepth network: 1; health information interoperability: 1; health care systems: 1; adolescents: 1; health risk behavior: 1; questionnaire: 1; kenya: 1; audio computer assisted self-interview: 1; health informatics: 1; bio-informatics: 1; e-health: 1; precision medicine: 1; translational research: 1; real-world evidence: 1; randomized control trial: 1; real-world data: 1; disease notification: 1; methicillin-resistant staphylococcus aureus: 1; telephone interviews: 1; urban population: 1; spatial behavior: 1; environment and public health: 1; open: 1; archival: 1; information: 1; system: 1; biomedical: 1; preservation: 1; access: 1; head and neck cancer: 1; cancer imaging: 1; senegal: 1; hiv surveillance: 1; sentinel surveillance: 1; prevention of mother-to-child transmission: 1; antenatal clinic: 1; suicide prevention: 1; self-harm: 1; indigenous: 1; inuit: 1; first nations: 1; circumpolar: 1; administrative data: 1; data governance: 1; health disparities: 1; general practice assessment questionnaire: 1; primary care: 1; physician-patient communication: 1; interpersonal performance: 1; data (database) management system: 1; diseases of poverty: 1; plasmodium falciparum: 1; "
107,Confidentiality of Shared Data,confidentiality,,porter2004considerations,1,
108,Confirmation Bias,bias,,eckman2011confirmation,3,decision making: 1; cognitive bias: 1; personality traits: 1; cognition: 1; physicians: 1; case-scenarios: 1; systematic review: 1; docking: 1; binding affinity prediction: 1; machine-learning scoring functions: 1; 
